GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population
0100000US,,United States,1600000US0644000,0644000,United States - California - Los Angeles city,Los Angeles city,3792621
0100000US,,United States,1600000US0644574,0644574,United States - California - Lynwood city,Lynwood city,69772
0100000US,,United States,1600000US0645022,0645022,United States - California - Madera city,Madera city,61416
0100000US,,United States,1600000US0645484,0645484,United States - California - Manteca city,Manteca city,67096
0100000US,,United States,1600000US0646842,0646842,United States - California - Menifee city,Menifee city,77519
0100000US,,United States,1600000US0646898,0646898,United States - California - Merced city,Merced city,78958
0100000US,,United States,1600000US0647766,0647766,United States - California - Milpitas city,Milpitas city,66790
0100000US,,United States,1600000US0648256,0648256,United States - California - Mission Viejo city,Mission Viejo city,93305(r39374)
0100000US,,United States,1600000US0648354,0648354,United States - California - Modesto city,Modesto city,201165
0100000US,,United States,1600000US0648816,0648816,United States - California - Montebello city,Montebello city,62500
0100000US,,United States,1600000US0648914,0648914,United States - California - Monterey Park city,Monterey Park city,60269
0100000US,,United States,1600000US0649270,0649270,United States - California - Moreno Valley city,Moreno Valley city,193365
0100000US,,United States,1600000US0649670,0649670,United States - California - Mountain View city,Mountain View city,74066
0100000US,,United States,1600000US0650076,0650076,United States - California - Murrieta city,Murrieta city,103466
0100000US,,United States,1600000US0650258,0650258,United States - California - Napa city,Napa city,76915
0100000US,,United States,1600000US0650398,0650398,United States - California - National City city,National City city,58582
0100000US,,United States,1600000US0651182,0651182,United States - California - Newport Beach city,Newport Beach city,85186
0100000US,,United States,1600000US0652526,0652526,United States - California - Norwalk city,Norwalk city,105549
0100000US,,United States,1600000US0652582,0652582,United States - California - Novato city,Novato city,51904
0100000US,,United States,1600000US0653000,0653000,United States - California - Oakland city,Oakland city,390724
0100000US,,United States,1600000US0653322,0653322,United States - California - Oceanside city,Oceanside city,167086
0100000US,,United States,1600000US0653896,0653896,United States - California - Ontario city,Ontario city,163924
0100000US,,United States,1600000US0653980,0653980,United States - California - Orange city,Orange city,136416(r39375)
0100000US,,United States,1600000US0654652,0654652,United States - California - Oxnard city,Oxnard city,197899
0100000US,,United States,1600000US0655156,0655156,United States - California - Palmdale city,Palmdale city,152750
0100000US,,United States,1600000US0655282,0655282,United States - California - Palo Alto city,Palo Alto city,64403
0100000US,,United States,1600000US0655618,0655618,United States - California - Paramount city,Paramount city,54098
0100000US,,United States,1600000US0656000,0656000,United States - California - Pasadena city,Pasadena city,137122
0100000US,,United States,1600000US0656700,0656700,United States - California - Perris city,Perris city,68386
0100000US,,United States,1600000US0656784,0656784,United States - California - Petaluma city,Petaluma city,57941
0100000US,,United States,1600000US0656924,0656924,United States - California - Pico Rivera city,Pico Rivera city,62942
0100000US,,United States,1600000US0657456,0657456,United States - California - Pittsburg city,Pittsburg city,63264
0100000US,,United States,1600000US0657526,0657526,United States - California - Placentia city,Placentia city,50533(r39376)
0100000US,,United States,1600000US0657792,0657792,United States - California - Pleasanton city,Pleasanton city,70285
0100000US,,United States,1600000US0658072,0658072,United States - California - Pomona city,Pomona city,149058
0100000US,,United States,1600000US0658240,0658240,United States - California - Porterville city,Porterville city,54165
0100000US,,United States,1600000US0659444,0659444,United States - California - Rancho Cordova city,Rancho Cordova city,64776
0100000US,,United States,1600000US0659451,0659451,United States - California - Rancho Cucamonga city,Rancho Cucamonga city,165269
0100000US,,United States,1600000US0659920,0659920,United States - California - Redding city,Redding city,89861
0100000US,,United States,1600000US0659962,0659962,United States - California - Redlands city,Redlands city,68747
0100000US,,United States,1600000US0660018,0660018,United States - California - Redondo Beach city,Redondo Beach city,66748
0100000US,,United States,1600000US0660102,0660102,United States - California - Redwood City city,Redwood City city,76815
0100000US,,United States,1600000US0660466,0660466,United States - California - Rialto city,Rialto city,99171
0100000US,,United States,1600000US0660620,0660620,United States - California - Richmond city,Richmond city,103701
0100000US,,United States,1600000US0662000,0662000,United States - California - Riverside city,Riverside city,303871
0100000US,,United States,1600000US0662364,0662364,United States - California - Rocklin city,Rocklin city,56974
0100000US,,United States,1600000US0662896,0662896,United States - California - Rosemead city,Rosemead city,53764
0100000US,,United States,1600000US0662938,0662938,United States - California - Roseville city,Roseville city,118788
0100000US,,United States,1600000US0664000,0664000,United States - California - Sacramento city,Sacramento city,466488
0100000US,,United States,1600000US0664224,0664224,United States - California - Salinas city,Salinas city,150441
0100000US,,United States,1600000US0665000,0665000,United States - California - San Bernardino city,San Bernardino city,209924
0100000US,,United States,1600000US0665042,0665042,United States - California - San Buenaventura (Ventura) city,San Buenaventura (Ventura) city,106433
0100000US,,United States,1600000US0665084,0665084,United States - California - San Clemente city,San Clemente city,63522
0100000US,,United States,1600000US0666000,0666000,United States - California - San Diego city,San Diego city,1307402(r39378)
0100000US,,United States,1600000US0667000,0667000,United States - California - San Francisco city,San Francisco city,805235
0100000US,,United States,1600000US0668000,0668000,United States - California - San Jose city,San Jose city,945942
0100000US,,United States,1600000US0668084,0668084,United States - California - San Leandro city,San Leandro city,84950
0100000US,,United States,1600000US0668196,0668196,United States - California - San Marcos city,San Marcos city,83781
0100000US,,United States,1600000US0668252,0668252,United States - California - San Mateo city,San Mateo city,97207
0100000US,,United States,1600000US0668364,0668364,United States - California - San Rafael city,San Rafael city,57713
0100000US,,United States,1600000US0668378,0668378,United States - California - San Ramon city,San Ramon city,72148
0100000US,,United States,1600000US0669000,0669000,United States - California - Santa Ana city,Santa Ana city,324528(r39379)
0100000US,,United States,1600000US0669070,0669070,United States - California - Santa Barbara city,Santa Barbara city,88410
0100000US,,United States,1600000US0669084,0669084,United States - California - Santa Clara city,Santa Clara city,116468
